open_time;open;high;low;close;volume;close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;ignore;symbol;timestamp
1632441600000;2703.50000000;2708.93000000;2345.67000000;2518.02;72877.07660000;1632527999999;182338729.92424700;210652;36483.08610000;91206758.71140100;0;ETHEUR;2021-09-24
1632528000000;2517.94000000;2549.76000000;2407.81000000;2511.25;48946.93760000;1632614399999;122127966.19448000;143643;24227.38170000;60437639.13067100;0;ETHEUR;2021-09-25
1632614400000;2510.70000000;2672.12000000;2355.50000000;2625.5;54674.77250000;1632700799999;138180027.12067900;166033;28098.18400000;71060855.13313800;0;ETHEUR;2021-09-26
1632700800000;2624.34000000;2714.56000000;2510.00000000;2510.98;41887.95980000;1632787199999;110141824.86389200;104371;20762.22300000;54611317.39664200;0;ETHEUR;2021-09-27
1632787200000;2510.77000000;2550.81000000;2405.50000000;2418.27;39782.14630000;1632873599999;99065201.69889200;108037;20142.37420000;50161480.92826600;0;ETHEUR;2021-09-28
1632873600000;2418.63000000;2537.67000000;2404.48000000;2465.62;33776.73990000;1632959999999;83677501.11185900;93382;17017.95550000;42160674.36154800;0;ETHEUR;2021-09-29
1632960000000;2465.99000000;2634.83000000;2454.50000000;2594.55;34834.20910000;1633046399999;89884934.47687500;102261;17561.25750000;45303547.10642400;0;ETHEUR;2021-09-30
1633046400000;2594.31000000;2872.17000000;2568.50000000;2853.7;41646.68151000;1633132799999;114213553.80174310;121941;21051.69501000;57728646.24265710;0;ETHEUR;2021-10-01
1633132800000;2853.83000000;2985.70000000;2809.85000000;2911.96;27667.52230000;1633219199999;79775840.97083700;93518;14078.20440000;40594548.07527000;0;ETHEUR;2021-10-02
1633219200000;2913.54000000;3000.00000000;2873.47000000;2936.73;23039.75120000;1633305599999;67705064.00972900;86755;11733.78340000;34485251.85301900;0;ETHEUR;2021-10-03
1633305600000;2937.46000000;2951.81000000;2816.45000000;2909.76;32692.33670000;1633391999999;94510046.10813500;141609;16571.91540000;47913795.57548500;0;ETHEUR;2021-10-04
1633392000000;2911.02000000;3047.14000000;2892.01000000;3014.2;31331.29190000;1633478399999;92784487.71855000;125397;15810.54880000;46822095.27536500;0;ETHEUR;2021-10-05
1633478400000;3014.93000000;3129.00000000;2881.01000000;3067.15;38669.36180000;1633564799999;116564829.40738600;152961;20023.62040000;60383701.28746700;0;ETHEUR;2021-10-06
